"","Municipi","Any","Comarca","Població","paper_cartro","vidre","envasos","piles","kg_hab_any_recollida","rs_rm","suma_fraccio_resta","kg_hab_any","model_rs","percentatge_poblacio_pap","fraccions_pap"
"451","Alcarràs",2004,"Segrià",5027,53.63,63.27,21.8,0,32.06,7.54,1976.3,425.19,"Porta a porta",0,"5"
"452","Alcarràs",2019,"Segrià",9514,246.25,260.92,380.17,0.65,226.18,81.14,500.16,278.76,"Porta a porta",100,"5"
"453","Alcarràs",2001,"Segrià",4715,31.21,48.4,10.7,0.15,19.21,4.99,1725.47,385.17,"Porta a porta",0,"5"
"454","Alcarràs",2014,"Segrià",9252,131.42,125.77,72.39,0.16,78.65,20.62,2800.28,381.31,"Porta a porta",0,"5"
"455","Alcarràs",2012,"Segrià",8755,104.79,116.61,70.76,0.18,65.8,18.68,2508.47,352.31,"Porta a porta",0,"5"
"457","Alcarràs",2008,"Segrià",7281,140.36,110.36,63.81,0.15,79.12,19.12,2436.06,413.7,"Porta a porta",0,"5"
"458","Alcarràs",2007,"Segrià",6510,111.41,100.03,49.34,0,82.2,19.46,2214.76,422.41,"Porta a porta",0,"5"
"459","Alcarràs",2015,"Segrià",9372,128.06,131.74,75.08,0.63,79.76,20.26,2942.51,393.73,"Porta a porta",0,"5"
"460","Alcarràs",2003,"Segrià",4903,24.16,51,19.96,0.18,26.14,6.22,1932.08,420.21,"Porta a porta",0,"5"
"461","Alcoletge",2000,"Segrià",1618,10.46,10.8,0,0.15,13.28,3.68,561.7,360.43,NA,0,NA
"462","Alcoletge",2001,"Segrià",1618,12.3,20.4,3.35,0,22.31,5.54,615.33,402.62,NA,0,NA
"463","Alcoletge",2002,"Segrià",1784,14.14,18,5.55,0.14,22.23,5.59,669.74,397.65,NA,0,NA
