Data d'inici,Municipis,Àmbit Territorial,Cens 2019,Model RS FORM domiciliaria,% població servida amb el PaP,Fraccions recollides PaP
21/10/2013,VILABLAREIX,Gironès,2.559,Porta a porta,100,5 [FO+R+V+P/C+E]
1/12/2004,BLANES,La Selva,39.785,Vorera i porta a porta,29,2 [FO+R]
26/11/2017,BREDA,La Selva,3.722,Porta a porta,94,4 [FO+R+P/C+E]
,,(CC de la Selva),,,,
30/04/2019,OSOR,La Selva,416,Porta a porta,100,3 [E+P/C+R]
,,(CC de la Selva),,,,
26/11/2017,RIUDELLOTS DE LA SELVA,La Selva,2.024,Porta a porta,83,4 [FO+R+P/C+E]
,,(CC de la Selva),,,,
13/11/2017,SANT HILARI SACALM,La Selva,5.57,Porta a porta,100,4 [FO+R+P/C+E]
29/05/2018,VILOBÍ D'ONYAR,La Selva,3.166,Porta a porta,100,4 [FO+R+P/C+E]
,,(CC de la Selva),,,,
31/01/2011,ARENYS DE MAR,Maresme,15.289,Vorera i porta a porta,70,4 [FO+R+P/C+E]
28/10/2002,ARENYS DE MUNT,Maresme,8.736,Vorera i porta a porta,91,4 [FO+R+P/C+E]
16/06/2004,ARGENTONA,Maresme,11.978,Vorera i porta a porta,"97,4",4 [FO+R+P/C+E]
2/5/2005,CANET DE MAR,Maresme,14.177,Porta a porta,100,4 [FO+R+P/C+E]
19/02/2018,DOSRIUS,Maresme,5.154,Vorera i porta a porta,30,4 [FO+R+P/C+E]
3/2/2003,SANT ANDREU DE LLAVANERES,Maresme,10.493,Vorera i porta a porta,57,2 [FO+R]
16/09/2009,SANT POL DE MAR,Maresme,5.012,Vorera i porta a porta,77,5 [FO+R+V+P/C+E]
5/6/2000,TIANA,Maresme,8.411,Porta a porta,100,2 [FO+R]
7/3/2019,CALDERS,Moianès,946,Porta a porta,100,4 [FO+R+P/C+E]
1/12/2008,CASTELLTERÇOL,Moianès,2.368,Porta a porta,100,4 [FO+R+P/C+E]
30/06/2014,COLLSUSPINA,Moianès,343,Porta a porta,100,3 [FO+MP+R]
15/10/2019,"Estany, l'",Moianès,393,Porta a porta,100,4 [FO+R+P/C+E]
8/10/2018,SANT QUIRZE SAFAJA,Moianès,627,Porta a porta,100,5 [FO+R+V+P/C+E]
29/05/2009,SANTA MARIA D'OLÓ,Moianès,1.063,Porta a porta,100,4 [FO+R+P/C+E]
2/5/2001,BALENYÀ,Osona,3.711,Porta a porta,100,3 [FO+MP+R]
5/3/2002,CALLDETENES,Osona,2.427,Porta a porta,100,3 [FO+MP+R]
2/5/2011,ESPINELVES,Osona,196,Porta a porta,100,4 [FO+MP+V+R]
18/11/2018,"Esquirol, l'",Osona,2.161,Porta a porta,100,4 [FO+MP+V+R]
6/5/2002,FOLGUEROLES,Osona,2.285,Porta a porta,100,3 [FO+MP+R]
5/10/2020,"Masies de Roda, les",Osona,700,Porta a porta,100,2 [MP+R]
1/6/2006,MALLA,Osona,262,Porta a porta,15,3 [FO+MP+R]
8/5/2017,MUNTANYOLA,Osona,604,Porta a porta,100,3 [FO+MP+R]
18/11/2013,OLOST,Osona,1.182,Porta a porta,100,3 [FO+MP+R]
3/10/2016,PRATS DE LLUÇANÈS,Osona,2.58,Porta a porta,100,3 [FO+MP+R]
1/10/2005,RODA DE TER,Osona,6.122,Porta a porta,100,3 [FO+MP+R]
19/11/2017,SANT JULIÀ DE VILATORTA,Osona,3.113,Porta a porta,100,3 [FO+MP+R]
26/10/2008,SANT MARTÍ DE CENTELLES,Osona,1.103,Porta a porta,92,3 [FO+MP+R]
2/2/2015,SANT VICENÇ DE TORELLÓ,Osona,2.001,Vorera i porta a porta,83,3 [FO+MP+R]
26/10/2008,SANTA EUGÈNIA DE BERGA,Osona,2.204,Porta a porta,97,3 [FO+MP+R]
25/11/2006,SANTA EULÀLIA DE RIUPRIMER,Osona,1.284,Porta a porta,94,3 [FO+MP+R]
2/3/2005,SEVA,Osona,3.434,Vorera i porta a porta,78,3 [FO+MP+R]
5/2/2002,TARADELL,Osona,6.262,Porta a porta,98,3 [FO+MP+R]
1/10/2000,TONA,Osona,8.021,Porta a porta,98,3 [FO+MP+R]
1/4/2002,VILADRAU,Osona,1.035,Porta a porta,100,3 [FO+MP+R]
23/03/2015,ALINS,Pallars Sobirà,288,Porta a porta,100,5 [FO+R+V+P/C+E]
15/04/2015,ALT ÀNEU,Pallars Sobirà,407,Porta a porta,100,5 [FO+R+V+P/C+E]
11/5/2015,ESPOT,Pallars Sobirà,362,Porta a porta,100,5 [FO+R+V+P/C+E]
15/04/2015,ESTERRI D'ÀNEU,Pallars Sobirà,804,Porta a porta,100,5 [FO+R+V+P/C+E]
18/03/2015,ESTERRI DE CARDÓS,Pallars Sobirà,73,Porta a porta,100,5 [FO+R+V+P/C+E]
16/04/2015,"Guingueta d'Àneu, la",Pallars Sobirà,315,Porta a porta,100,5 [FO+R+V+P/C+E]
18/03/2015,LLADORRE,Pallars Sobirà,229,Porta a porta,100,5 [FO+R+V+P/C+E]
27/03/2015,LLAVORSÍ,Pallars Sobirà,354,Porta a porta,100,5 [FO+R+V+P/C+E]
29/03/2015,RIALP,Pallars Sobirà,655,Porta a porta,100,5 [FO+R+V+P/C+E]
25/03/2015,SORIGUERA,Pallars Sobirà,385,Porta a porta,100,5 [FO+R+V+P/C+E]
22/03/2015,SORT,Pallars Sobirà,2.199,Porta a porta,100,5 [FO+R+V+P/C+E]
18/03/2015,VALL DE CARDÓS,Pallars Sobirà,368,Porta a porta,100,5 [FO+R+V+P/C+E]
16/02/2018,CAMÓS,Pla de l'Estany,687,Porta a porta,44,4 [FO+R+P/C+E]
16/02/2018,PORQUERES,Pla de l'Estany,4.594,Porta a porta,89,4 [FO+R+P/C+E]
1/12/2008,BELLMUNT DEL PRIORAT,Priorat,303,Porta a porta,100,5 [FO+R+V+P/C+E]
20/07/2009,CABACÉS,Priorat,330,Porta a porta,100,2 [FO+R]
9/3/2010,CAPÇANES,Priorat,413,Porta a porta,100,5 [FO+R+V+P/C+E]
12/4/2006,CORNUDELLA DE MONTSANT,Priorat,981,Porta a porta,100,5 [FO+R+V+P/C+E]
29/11/2004,"Masroig, el",Priorat,511,Porta a porta,97,5 [FO+R+V+P/C+E]
23/11/2009,"Guiamets, els",Priorat,277,Porta a porta,100,2 [FO+R]
15/11/2004,FALSET,Priorat,2.867,Porta a porta,97,5 [FO+R+V+P/C+E]
1/7/2008,GRATALLOPS,Priorat,243,Porta a porta,100,5 [FO+R+V+P/C+E]
8/4/2003,"Figuera, la",Priorat,117,Porta a porta,100,2 [FO+R]
1/8/2008,"Morera de Montsant, la",Priorat,147,Porta a porta,92,5 [FO+R+V+P/C+E]
2/1/2006,"Torre de Fontaubella, la",Priorat,129,Porta a porta,100,5 [FO+R+V+P/C+E]
8/4/2013,"Vilella Baixa, la",Priorat,197,Porta a porta,100,2 [FO+R]
1/5/2014,MARGALEF,Priorat,97,Porta a porta,100,5 [FO+R+V+P/C+E]
19/04/2010,POBOLEDA,Priorat,363,Porta a porta,100,5 [FO+R+V+P/C+E]
1/12/2007,PORRERA,Priorat,448,Porta a porta,100,5 [FO+R+V+P/C+E]
4/6/2012,PRADELL DE LA TEIXETA,Priorat,183,Porta a porta,82,5 [FO+R+V+P/C+E]
15/03/2006,ULLDEMOLINS,Priorat,404,Porta a porta,100,5 [FO+R+V+P/C+E]
